Naam;Breedtegraad (latitude);Lengtegraad (longitude)
Delft;52.0115769;4.3570677
Rijswijk;52.0376977;4.3219738
Den Haag Moerwijk;52.054519;4.3085449
Den Haag HS;52.0694594;4.3215428
De Vink;52.1470409;4.4556372
Voorschoten;52.1237896;4.4385976
Den Haag Mariahoeve;52.0909985;4.3700691
Den Haag Laan van NOI;52.0792112;4.343651
Den Haag Centraal;52.0809271;4.3244199
Voorburg;52.0761581;4.3625406
Den Haag Ypenburg;52.0623605;4.3766484
Zoetermeer;52.060669;4.494025
Zoetermeer Oost;52.0463461;4.4934339
Castricum;52.5452585;4.6727354
Heiloo;52.6012341;4.7004931
Alkmaar;52.6323813;4.7533754
Alkmaar Noord;52.643489;4.763353
Den Helder;52.9562808;4.7607972
Den Helder Zuid;52.932577;4.744183
Anna Paulowna;52.8616158;4.8238091
Schagen;52.7880912;4.8043998
Heerhugowaard;52.662677;4.8324767
Obdam;52.6760192;4.9081883
Enkhuizen;52.7153849;5.2846831
Bovenkarspel Flora;52.6961115;5.2533431
Bovenkarspel-Grootebroek;52.6950724;5.2363181
Hoogkarspel;52.6925934;5.1652989
Hoorn Kersenboogerd;52.6533353;5.0849124
Hoorn;52.6423654;5.0602124
Purmerend Overwhere;52.5112223;4.9670882
Purmerend;52.5143815;4.9640611
Purmerend Weidevenne;52.4966662;4.9277306
Zaandam Kogerveld;52.4567546;4.8191929
Zaandam;52.4420399;4.8291992
Koog aan de Zaan;52.4607871;4.8047292
Zaandijk Zaanse Schans;52.4692791;4.8051566
Wormerveer;52.4903502;4.7980674
Krommenie-Assendelft;52.4950503;4.7552412
Uitgeest;52.5312254;4.7120459
Heemskerk;52.514146;4.6821367
Beverwijk;52.4869842;4.6574468
Driehuis;52.4470055;4.6362986
Santpoort Noord;52.436914;4.6081788
Santpoort Zuid;52.419708;4.6303815
Bloemendaal;52.4106502;4.5971853
Zandvoort aan Zee;52.3757695;4.5312595
Overveen;52.3921054;4.6095975
Voorhout;52.2223012;4.4863318
Hillegom;52.2956262;4.5791763
Heemstede-Aerdenhout;52.359508;4.606767
Haarlem;52.3873878;4.6462194
Haarlem Spaarnwoude;52.3828351;4.6712023
Amsterdam Lelylaan;52.359706;4.833942
Amsterdam Sloterdijk;52.388658;4.848818
Diemen;52.3389926;4.9591888
Amsterdam Centraal;52.3791283;4.900272
Amsterdam Muiderpoort;52.360778;4.930817
Amsterdam Amstel;52.346906;4.917602
Amsterdam RAI;52.337107;4.890105
Amsterdam Zuid;52.3354685;4.8757471
Schiphol;52.3105386;4.7682744
Hoofddorp;52.3060853;4.6907041
Nieuw Vennep;52.2640283;4.6318006
Leiden Centraal;52.164675;4.480527
Leiden Lammenschans;52.1467516;4.4929317
Gouda Goverwelle;52.0150128;4.7420993
Gouda;52.0115205;4.7104633
Waddinxveen;52.0312972;4.6591318
Waddinxveen Noord;52.0553142;4.6482146
Boskoop;52.0742845;4.6584762
Alphen aan den Rijn;52.1276577;4.6688508
Bodegraven;52.0823259;4.7460844
Utrecht Terwijde;52.108005;5.03318
Vleuten;52.1092881;5.0241355
Woerden;52.0798287;4.8627239
Diemen Zuid;52.3355334;4.9558695
Duivendrecht;52.332886;4.9412022
Amsterdam Bijlmer ArenA;52.312057;4.947193
Amsterdam Holendrecht;52.2982293;4.9599438
Abcoude;52.272071;4.9704743
Breukelen;52.1710222;5.001329
Maarssen;52.1319071;5.0171019
Utrecht Zuilen;52.1032324;5.0893544
Weesp;52.3080507;5.0406217
Lelystad Centrum;52.5079328;5.4727185
Almere Oostvaarders;52.4031487;5.3002703
Almere Buiten;52.4081006;5.2624778
Almere Parkwijk;52.3768429;5.2448577
Almere Centrum;52.3710562;5.219543
Almere Muziekwijk;52.369461;5.185516
Leeuwarden Achter De Hoven;53.1967709;5.8115559
Naarden-Bussum;52.280646;5.1571557
Bussum Zuid;52.2658951;5.1628737
Hilversum Media Park;52.2378723;5.1740114
Utrecht Lunetten;52.0664082;5.1432619
Houten;52.0278426;5.1630019
Culemborg;51.9561076;5.2400448
Geldermalsen;51.8820038;5.2910872
Tiel Passewaaij;51.8736724;5.3918894
Tiel;51.8876176;5.4278765
Kesteren;51.934119;5.5720304
Opheusden;51.9330254;5.629707
Hemmen-Dodewaard;51.9224135;5.6736223
Zetten-Andelst;51.9197801;5.7233591
Elst;51.9192887;5.8473619
Arnhem Zuid;51.95549;5.851877
Hollandsche Rading;52.1770657;5.1853519
